HOME_PLAN_ID_CD|MEMB_ID_CD|BHI_MEMB_ID|DEID_MEM_ID|PERSON_ID_CD|ALT_MEM_ID|MBRS_NM_LAST|MBRS_NM_MIDDLE|MBRS_NM_FIRST|MBRS_STREET1|MBRS_STREET2|MBRS_CITY|MBRS_STATE|MBRS_CRNT_COUNTY_CD|MBRS_CRNT_PRIM_ZIP_CD|MBRS_CRNT_PRIM_ZIP_PLUSFOUR|MBRS_PRIM_PHN|MBRS_PRIM_EMAIL|MBRS_PREF_CONTACT|MEMB_BRTH_DT|MEMB_GENDER_CD|MEMB_CNFDNT_CD|SMOKE_STATUS|DT_OF_DTH|SEG1_ID|SEG2_ID|SEG3_ID|SEG4_ID|SEG5_ID|SEG6_ID|SEG7_ID|SEG8_ID|SEG9_ID|SEG10_ID
123|88000000001|88000000001|1EG4TE5MK73|0716LP41840|0|Robertson||Melvin|1263 Tenny Place||Houma|LA|LA298|70360|||couple2010@live.com|1|19420621|M|NON|N|||||||||||
123|88000000002|88000000002|2FA7TR9PA12|0734CL46536|0|Wheeler||Kevin|1001 Harold Place||Shreveport|LA|LA260|71101|||why1836@yahoo.com|2|19451215|M|NON|N|||||||||||
123|88000000003|88000000003|3DJ8RE6LK45|0858SG71093|0|Porter||Megan|1223 Elsie Route||Shreveport|LA|LA448|71101|||worship2094@yandex.com|3|19460301|F|NON|Y|||||||||||
123|88000000004|88000000004|4GH2ME3NJ67|0868IC95908|0|Flores||Jessica|1364 Hunter Crossing||New Orleans|LA|LA862|70112|||affairs1999@example.org|3|19570322|F|NON|Y|||||||||||
123|88000000005|88000000005|5KL9TE1PK89|1026FT32876|0|Jacobs||Rachel|370 Ramsell Landing||Alexandria|LA|LA707|71301|||easier1928@yandex.com|1|19450116|F|NON|N|||||||||||
123|88000000006|88000000006|6MN3RE7MK21|1202TX19700|0|Robinson||Richard|337 Lyon Circle||Bossier City|LA|LA288|71111|||funds1811@yandex.com|2|19450120|M|NON|N|||||||||||
123|88000000007|88000000007|7PQ4TE2LK34|1501CV72731|0|Tucker||Michael|351 Dudley Alley||New Orleans|LA|LA480|70112|||marilyn1947@example.org|1|19380821|M|NON|Y|||||||||||
123|88000000008|88000000008|8RS5ME8NJ56|2909KQ38553|0|Mitchell||Carolyn|1104 Terry A Francois Lake||Baton Rouge|LA|LA430|70802|||groundwater2082@protonmail.com|1|19361218|F|NON|Y|||||||||||
123|88000000009|88000000009|9TU6RE4PK78|3243GW39169|0|Stout||Patricia|958 Littlefield Mall||Kenner|LA|LA738|70062|||bacterial2053@example.org|2|19500228|F|NON|N|||||||||||
123|88000000010|88000000010|1VW7TE9MK90|5242GX75918|0|Weber||Justin|1263 Trinity Manor||Shreveport|LA|LA691|71101|||corner2049@live.com|2|19450830|M|NON|Y|||||||||||
123|88000000011|88000000011|2XY8ME5LK12|5773AI31576|0|Contreras||Luis|161 Tenny Plaza||Lafayette|LA|LA595|70501|||pensions1872@example.com|3|19350503|M|NON|N|||||||||||
123|88000000012|88000000012|3ZA9RE6NJ34|6436FE00359|0|Gordon||Pamela|516 Battery Crosby Street||Shreveport|LA|LA673|71101|||when1800@example.org|3|19580319|F|NON|N|||||||||||
123|88000000013|88000000013|4AB1TE3PK56|7339HR92692|0|Huff||Jessica|252 Laurel Park||Lafayette|LA|LA535|70501|||shareholders2025@yahoo.com|3|19530909|F|NON|Y|||||||||||
123|88000000014|88000000014|5CD2ME7MK78|8010AM40518|0|Owen||Francisco|431 Wiese Garden||Lake Charles|LA|LA191|70601|||respond1999@yahoo.com|1|19500318|M|NON|Y|||||||||||
123|88000000015|88000000015|6EF3RE1LK90|8204QH99467|0|Green||Stephen|674 Bay View Drive||Houma|LA|LA275|70360|||behalf1987@outlook.com|3|19580416|M|NON|N|||||||||||
123|88000000016|88000000016|7GH4TE8NJ12|8261CU25446|0|Davis||Barbara|750 Escolta Canyon||Baton Rouge|LA|LA600|70802|||latvia1867@gmail.com|1|19570908|F|NON|N|||||||||||
123|88000000017|88000000017|8IJ5ME2PK34|8312XL71867|0|Lopez||Aaron|12 Northgate Motorway||Houma|LA|LA760|70360|||banned1897@duck.com|3|19550622|M|NON|N|||||||||||
123|88000000018|88000000018|9KL6RE9MK56|9115VD14000|0|Kelley||Kathy|780 Farallones Pass||Lafayette|LA|LA133|70501|||tight1839@live.com|2|19500720|F|NON|N|||||||||||
123|88000000019|88000000019|1MN7TE4LK78|9168WK74329|0|Smith||John|936 Marcy Lake||Shreveport|LA|LA11|71101|||stronger1822@gmail.com|2|19510510|M|NON|Y|||||||||||
123|88000000020|88000000020|2OP8ME6NJ90|9929XS35783|0|Scott||David|182 Charles J Brenham Hill||Shreveport|LA|LA14|71101|||influence1828@live.com|1|19370814|M|NON|Y|||||||||||
