HOME_PLAN_ID_CD|BHI_PROV_ID|PROVIDER_ID|ALT_PROV_ID|CON_PROV_ID|PROV_SPCLT_CD|PLAN_PROV_SPCLT_CD|CMS_SPCLT_CD|PROV_TYPE|PROV_NET_IND|OOA_IND|PROV_ORG_NM|PROV_NM_LAST|PROV_NM_FIRST|PROV_STREET1|PROV_STREET2|PROV_CITY|PROV_COUNTY_CD|PROV_STATE|PROV_ZIP|PROV_PHONE|PROV_EMAIL|PROV_NPI|PROV_DEA|SEG1_ID|SEG2_ID|SEG3_ID|SEG4_ID|SEG5_ID|SEG6_ID|SEG7_ID|SEG8_ID|SEG9_ID|SEG10_ID|PROV_ARRANGEMENT_ID_1|PROV_ARRANGEMENT_NM_1|PROV_ARRANGEMENT_TYPE_CD_1|PROV_ARRANGEMENT_START_DT_1|PROV_ARRANGEMENT_END_DT_1|PROV_ARRANGEMENT_ID_2|PROV_ARRANGEMENT_NM_2|PROV_ARRANGEMENT_TYPE_CD_2|PROV_ARRANGEMENT_START_DT_2|PROV_ARRANGEMENT_END_DT_2|PROV_TAXONOMY_CD|MEDICARE_PROV_ID
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||I||STANLEY|JOHN|36561 HARPER AVE||CLINTON TWP|AR007|MI|48035||precise1963@protonmail.com|1326041187||||||||||||||||||||||46469ZHDSW|
170|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||O||STRNAD|BRADLEY|7221 ENGLE RD STE 220||FORT WAYNE|AR045|IN|46804||mastercard1802@duck.com|1548263726||||||||||||||||||||||42316GORXI|
170|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||O||PATIL|SANJAY|6905 BURLINGTON PIKE||FLORENCE|AR007|KY|41042||durham2039@gmail.com|1417950510||||||||||||||||||||||50619NTAPI|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||CHENEY|RICHARD|ELM AND CARLTON ST||BUFFALO|AR031|NY|14263||collapse1988@example.org|1184620080||||||||||||||||||||||91501FYDWL|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||I||MOORE|JAMES|1919 W. CORONET AVENUE||ANAHEIM|AR131|CA|92801||elections1911@yandex.com|1356344386||||||||||||||||||||||38276CWGAX|
471|207RN0300X|207RN0300X|207RN0300X|207RN0300X||||GROUP||O||RING|MICHAEL|PO BOX 331||LIBERTY LAKE|AR007|WA|99019||queens1980@duck.com|1467455543||||||||||||||||||||||58166SPQDR|
20|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||O||KVAMME|PETER|PO BOX 11167||KNOXVILLE|NE055|TN|37939||distributions2095@duck.com|1972506178||||||||||||||||||||||53387CDONI|
170|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||O||WEISS|KENNETH|6077 PRIMACY PKWY STE 140||MEMPHIS|LA071|TN|38119||weight1986@example.org|1700889730||||||||||||||||||||||31927UAEOP|
471|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||O||GONZALES|LUISITO|710 N NILES AVE||SOUTH BEND|LA033|IN|46617||vpn1886@yahoo.com|1164425997||||||||||||||||||||||18941UBGWX|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||O||WICKSTROM|KARL|790 GAIL GARDNER WAY||PRESCOTT|LA033|AZ|86305||supports1880@duck.com|1669476123||||||||||||||||||||||95784AKWMF|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||PATEL|SUNIT|PO BOX 160||LITTLETON|NE055|NH|3561||winners1922@example.com|1629071220||||||||||||||||||||||41716EXQUU|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||DUNSTAN|JAMES|1204 FENWICK DR||LYNCHBURG|AR143|VA|24502||earth1840@yandex.com|1750384137||||||||||||||||||||||78777PTSZA|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||I||FAWCETT|KENNEDY|1515 WILSON AVE||AMES|NE055|IA|50010||forecasts1861@gmail.com|1124021464||||||||||||||||||||||20231FIZTA|
20|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||O||MANI|VENK|127 CRESTVIEW PARK DR||DICKSON|AR143|TN|37055||guidelines1978@yandex.com|1780687830||||||||||||||||||||||40961SWPJQ|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||THORREZ|DAVID|2900 PACKARD RD STE 1||YPSILANTI|AR007|MI|48197||fairly1972@live.com|1558364562||||||||||||||||||||||76283DWCPB|
170|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||O||CHESIS|PAUL|1675 E MAIN ST||KENT|AR119|OH|44240||dramatically1991@duck.com|1275537839||||||||||||||||||||||26763RQJGB|
20|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||I||ANDERSON|DOUGLAS|201 NW MEDICAL LOOP STE 190||ROSEBURG|AR045|OR|97471||bytes1961@yandex.com|1841294774||||||||||||||||||||||94590LCWJW|
170|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||I||BARTH|KLEMENS|PO BOX 631856||BALTIMORE|NE153|MD|21263||levitra1866@protonmail.com|1780682823||||||||||||||||||||||57916EBWVS|
